spectrum_index,spectrum_description,noise_level,snr,noise_std,correlation_with_neg_noise,success,elapsed_time_s,result_key
0,Standard spectrum,0.005,199.33429156037545,0.0050093311951519715,0.9999999967532281,True,0.8903722763061523,0_0.005
0,Standard spectrum,0.01,99.66714578018772,0.010018662390303943,0.9999999991883064,True,0.8912982940673828,0_0.01
0,Standard spectrum,0.05,19.93342915603755,0.050093311951519705,0.9999999999675326,True,0.8942844867706299,0_0.05
0,Standard spectrum,0.1,9.966714578018776,0.10018662390303941,0.9999999999918601,True,0.8930466175079346,0_0.1
0,Standard spectrum,0.15,6.6444763853458495,0.15027993585455912,0.9999999999963926,True,0.8918173313140869,0_0.15
0,Standard spectrum,0.2,4.983357289009388,0.20037324780607882,0.999999999997966,True,0.8924622535705566,0_0.2
19392,High metallicity spectrum,0.005,199.62487851552626,0.0050093311951519715,0.9999999999905274,True,1.0686779022216797,19392_0.005
19392,High metallicity spectrum,0.01,99.81243925776313,0.010018662390303943,0.9999999999976319,True,1.0700128078460693,19392_0.01
19392,High metallicity spectrum,0.05,19.96248785155263,0.050093311951519705,0.999999999999904,True,1.072190284729004,19392_0.05
19392,High metallicity spectrum,0.1,9.981243925776315,0.10018662390303941,0.9999999999999761,True,1.0695147514343262,19392_0.1
19392,High metallicity spectrum,0.15,6.65416261718421,0.15027993585455912,0.9999999999999867,True,1.0298078060150146,19392_0.15
19392,High metallicity spectrum,0.2,4.990621962888158,0.20037324780607882,0.9999999999999943,True,1.0655887126922607,19392_0.2
9696,Mid-range spectrum,0.005,199.6000554080266,0.0050093311951519715,0.9999999995433547,True,2.437291145324707,9696_0.005
9696,Mid-range spectrum,0.01,99.8000277040133,0.010018662390303943,0.9999999998858389,True,2.4459919929504395,9696_0.01
9696,Mid-range spectrum,0.05,19.960005540802662,0.050093311951519705,0.999999999991538,True,2.363454580307007,9696_0.05
9696,Mid-range spectrum,0.1,9.980002770401331,0.10018662390303941,0.9999999999997368,True,2.340003490447998,9696_0.1
9696,Mid-range spectrum,0.15,6.653335180267554,0.15027993585455912,0.9999999999986411,True,2.3893704414367676,9696_0.15
9696,Mid-range spectrum,0.2,4.9900013852006655,0.20037324780607882,0.9999999999995056,True,2.392025947570801,9696_0.2
